GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
29510,"St. Louis city, Missouri",168819,7.0
30013,"Cascade County, Montana",40686,4.0
30029,"Flathead County, Montana",51203,2.5
30031,"Gallatin County, Montana",64538,2.2
30049,"Lewis and Clark County, Montana",36560,1.9
30063,"Missoula County, Montana",68243,3.5
30111,"Yellowstone County, Montana",86145,3.5
31055,"Douglas County, Nebraska",309540,3.9
31109,"Lancaster County, Nebraska",178734,3.8
31153,"Sarpy County, Nebraska",102610,2.9
32003,"Clark County, Nevada",1119411,6.1
32031,"Washoe County, Nevada",247128,4.8
33005,"Cheshire County, New Hampshire",41515,3.1
33009,"Grafton County, New Hampshire",47316,4.8
33011,"Hillsborough County, New Hampshire",235865,4.0
33013,"Merrimack County, New Hampshire",82974,3.3
33015,"Rockingham County, New Hampshire",180896,3.6
33017,"Strafford County, New Hampshire",75527,4.0
34001,"Atlantic County, New Jersey",140155,8.5
34003,"Bergen County, New Jersey",506934,3.9
34005,"Burlington County, New Jersey",240738,5.1
34007,"Camden County, New Jersey",272552,6.4
34009,"Cape May County, New Jersey",45049,7.1
34011,"Cumberland County, New Jersey",69467,10.1
34013,"Essex County, New Jersey",419230,7.7
34015,"Gloucester County, New Jersey",158612,5.9
34017,"Hudson County, New Jersey",388523,4.5
34019,"Hunterdon County, New Jersey",69365,3.7
34021,"Mercer County, New Jersey",194942,5.6
34023,"Middlesex County, New Jersey",439097,4.8
34025,"Monmouth County, New Jersey",341136,5.0
34027,"Morris County, New Jersey",275954,3.7
34029,"Ocean County, New Jersey",278457,5.2
34031,"Passaic County, New Jersey",258780,4.8
34033,"Salem County, New Jersey",30743,5.9
34035,"Somerset County, New Jersey",182469,3.9
34037,"Sussex County, New Jersey",80253,5.3
34039,"Union County, New Jersey",302389,5.8
34041,"Warren County, New Jersey",60161,5.1
35001,"Bernalillo County, New Mexico",337224,5.0
35005,"Chaves County, New Mexico",28084,5.6
35013,"Doña Ana County, New Mexico",92314,8.2
35025,"Lea County, New Mexico",29461,6.8
35031,"McKinley County, New Mexico",28447,14.6
35035,"Otero County, New Mexico",30077,9.2
35043,"Sandoval County, New Mexico",61820,6.1
35045,"San Juan County, New Mexico",52276,8.8
35049,"Santa Fe County, New Mexico",72227,4.3
35061,"Valencia County, New Mexico",31209,6.7
36001,"Albany County, New York",170957,4.7
36005,"Bronx County, New York",691520,10.9
36007,"Broome County, New York",90315,7.1
