GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!In labor force,Percent!!EMPLOYMENT STATUS!!Percent Unemployed
36029,"Erie County, New York",476242,7.6
36045,"Jefferson County, New York",61373,13.2
36047,"Kings County, New York",1274967,11.1
36051,"Livingston County, New York",32022,5.1
36053,"Madison County, New York",34560,4.9
36055,"Monroe County, New York",395654,8.7
36059,"Nassau County, New York",706160,7.3
36061,"New York County, New York",951627,8.8
36063,"Niagara County, New York",109465,8.9
36065,"Oneida County, New York",113860,8.9
36067,"Onondaga County, New York",238133,8.0
36069,"Ontario County, New York",56918,7.7
36071,"Orange County, New York",190260,9.0
36075,"Oswego County, New York",57168,9.0
36079,"Putnam County, New York",56148,9.3
36081,"Queens County, New York",1202404,9.6
36083,"Rensselaer County, New York",88576,8.8
36085,"Richmond County, New York",224605,7.2
36087,"Rockland County, New York",156358,8.3
36089,"St. Lawrence County, New York",50256,12.1
36091,"Saratoga County, New York",121195,6.7
36093,"Schenectady County, New York",81407,8.5
36101,"Steuben County, New York",47918,8.6
36103,"Suffolk County, New York",782426,7.3
36105,"Sullivan County, New York",36379,12.8
36109,"Tompkins County, New York",49202,5.8
36111,"Ulster County, New York",95177,11.8
36113,"Warren County, New York",35035,9.8
36117,"Wayne County, New York",47605,7.7
36119,"Westchester County, New York",496321,8.4
37001,"Alamance County, North Carolina",75815,8.9
37019,"Brunswick County, North Carolina",49622,13.0
37021,"Buncombe County, North Carolina",126052,8.7
37023,"Burke County, North Carolina",42681,12.6
37025,"Cabarrus County, North Carolina",94170,10.7
37027,"Caldwell County, North Carolina",37659,15.1
37031,"Carteret County, North Carolina",35010,9.5
37035,"Catawba County, North Carolina",77824,8.3
37037,"Chatham County, North Carolina",32247,13.1
37045,"Cleveland County, North Carolina",46748,15.4
37049,"Craven County, North Carolina",51986,12.0
37051,"Cumberland County, North Carolina",163311,14.6
37057,"Davidson County, North Carolina",80837,14.7
37063,"Durham County, North Carolina",148187,7.9
37067,"Forsyth County, North Carolina",178264,11.8
37071,"Gaston County, North Carolina",105294,12.5
37081,"Guilford County, North Carolina",257734,10.7
37085,"Harnett County, North Carolina",56738,10.4
37089,"Henderson County, North Carolina",48374,9.5
37097,"Iredell County, North Carolina",81340,11.8
37101,"Johnston County, North Carolina",86162,9.6
37109,"Lincoln County, North Carolina",40933,10.6
37119,"Mecklenburg County, North Carolina",537683,9.8
37125,"Moore County, North Carolina",41011,11.1
37127,"Nash County, North Carolina",46261,14.7
37129,"New Hanover County, North Carolina",114627,8.6
37133,"Onslow County, North Carolina",96233,16.2
37135,"Orange County, North Carolina",72919,7.2
37147,"Pitt County, North Carolina",96875,13.1
37151,"Randolph County, North Carolina",71124,10.3
37155,"Robeson County, North Carolina",56354,11.9
37157,"Rockingham County, North Carolina",42885,14.9
37159,"Rowan County, North Carolina",65093,13.4
37161,"Rutherford County, North Carolina",29885,13.9
37171,"Surry County, North Carolina",32355,8.0
37179,"Union County, North Carolina",102415,9.2
37183,"Wake County, North Carolina",519320,6.8
37191,"Wayne County, North Carolina",61583,15.6
37193,"Wilkes County, North Carolina",32233,13.8
37195,"Wilson County, North Carolina",38826,10.8
38015,"Burleigh County, North Dakota",49684,3.7
38017,"Cass County, North Dakota",96354,4.2
38035,"Grand Forks County, North Dakota",40084,3.0
39003,"Allen County, Ohio",50563,7.9
39007,"Ashtabula County, Ohio",45199,10.2
39013,"Belmont County, Ohio",34103,8.8
39017,"Butler County, Ohio",191460,7.9
39023,"Clark County, Ohio",65391,13.3
39025,"Clermont County, Ohio",100114,7.8
39029,"Columbiana County, Ohio",54299,8.6
39035,"Cuyahoga County, Ohio",646270,11.3
39041,"Delaware County, Ohio",93804,3.2
39043,"Erie County, Ohio",38919,8.8
39045,"Fairfield County, Ohio",75402,8.1
39049,"Franklin County, Ohio",642543,7.7
39055,"Geauga County, Ohio",48277,6.5
39057,"Greene County, Ohio",85335,8.5
39061,"Hamilton County, Ohio",422647,9.3
39063,"Hancock County, Ohio",40835,8.2
39081,"Jefferson County, Ohio",30741,8.3
39085,"Lake County, Ohio",123169,7.1
39089,"Licking County, Ohio",89039,8.0
39093,"Lorain County, Ohio",150392,10.3
39095,"Lucas County, Ohio",219705,13.8
39099,"Mahoning County, Ohio",113318,9.8
39101,"Marion County, Ohio",27519,6.7
39103,"Medina County, Ohio",90236,5.2
39109,"Miami County, Ohio",54570,9.8
39113,"Montgomery County, Ohio",262363,10.7
39119,"Muskingum County, Ohio",41118,8.8
39133,"Portage County, Ohio",89862,9.5
39139,"Richland County, Ohio",56687,10.0
39141,"Ross County, Ohio",33700,13.1
39145,"Scioto County, Ohio",31237,10.6
39151,"Stark County, Ohio",189833,9.9
39153,"Summit County, Ohio",279528,9.7
39155,"Trumbull County, Ohio",95464,9.4
39157,"Tuscarawas County, Ohio",45624,8.4
39165,"Warren County, Ohio",111576,5.7
39169,"Wayne County, Ohio",57002,5.0
39173,"Wood County, Ohio",70320,8.4
40017,"Canadian County, Oklahoma",63099,3.8
40027,"Cleveland County, Oklahoma",139604,5.0
40031,"Comanche County, Oklahoma",63143,10.1
40037,"Creek County, Oklahoma",31810,7.6
40101,"Muskogee County, Oklahoma",30219,9.3
40109,"Oklahoma County, Oklahoma",374131,6.2
40119,"Payne County, Oklahoma",39705,6.7
40125,"Pottawatomie County, Oklahoma",31887,6.5
40131,"Rogers County, Oklahoma",44005,5.8
40143,"Tulsa County, Oklahoma",316545,7.8
40145,"Wagoner County, Oklahoma",36289,5.9
41003,"Benton County, Oregon",45196,10.1
41005,"Clackamas County, Oregon",200912,9.1
41017,"Deschutes County, Oregon",78125,11.2
41019,"Douglas County, Oregon",45137,12.9
41029,"Jackson County, Oregon",98843,12.0
41033,"Josephine County, Oregon",33024,15.6
41035,"Klamath County, Oregon",29922,13.6
41039,"Lane County, Oregon",171797,12.0
41043,"Linn County, Oregon",54071,11.4
41047,"Marion County, Oregon",156678,16.2
41051,"Multnomah County, Oregon",426374,10.1
41053,"Polk County, Oregon",35867,12.9
41059,"Umatilla County, Oregon",36614,11.2
41067,"Washington County, Oregon",294320,8.8
41071,"Yamhill County, Oregon",47343,8.7
42001,"Adams County, Pennsylvania",54824,5.8
42003,"Allegheny County, Pennsylvania",658061,7.5
42005,"Armstrong County, Pennsylvania",32963,8.7
42007,"Beaver County, Pennsylvania",87412,8.1
42011,"Berks County, Pennsylvania",217291,9.9
42013,"Blair County, Pennsylvania",61620,7.7
42017,"Bucks County, Pennsylvania",344796,8.0
42019,"Butler County, Pennsylvania",96415,6.5
42021,"Cambria County, Pennsylvania",64633,9.9
42025,"Carbon County, Pennsylvania",32083,8.1
42027,"Centre County, Pennsylvania",76230,5.9
42029,"Chester County, Pennsylvania",278242,7.1
42033,"Clearfield County, Pennsylvania",37988,7.9
42037,"Columbia County, Pennsylvania",33374,6.0
42039,"Crawford County, Pennsylvania",41845,9.3
42041,"Cumberland County, Pennsylvania",128167,7.4
42043,"Dauphin County, Pennsylvania",143853,7.4
42045,"Delaware County, Pennsylvania",290490,8.9
42049,"Erie County, Pennsylvania",141039,9.2
42051,"Fayette County, Pennsylvania",58583,7.4
42055,"Franklin County, Pennsylvania",77143,7.2
42063,"Indiana County, Pennsylvania",42064,6.3
42069,"Lackawanna County, Pennsylvania",108002,10.0
42071,"Lancaster County, Pennsylvania",270306,7.0
42073,"Lawrence County, Pennsylvania",42870,7.6
42075,"Lebanon County, Pennsylvania",71231,7.5
