GEO_ID,NAME,B25075_001E,B25075_001M,B25075_002E,B25075_002M,B25075_003E,B25075_003M,B25075_004E,B25075_004M,B25075_005E,B25075_005M,B25075_006E,B25075_006M,B25075_007E,B25075_007M,B25075_008E,B25075_008M,B25075_009E,B25075_009M,B25075_010E,B25075_010M,B25075_011E,B25075_011M,B25075_012E,B25075_012M,B25075_013E,B25075_013M,B25075_014E,B25075_014M,B25075_015E,B25075_015M,B25075_016E,B25075_016M,B25075_017E,B25075_017M,B25075_018E,B25075_018M,B25075_019E,B25075_019M,B25075_020E,B25075_020M,B25075_021E,B25075_021M,B25075_022E,B25075_022M,B25075_023E,B25075_023M,B25075_024E,B25075_024M,B25075_025E,B25075_025M,Unnamed: 52,B25077_001M,B25077_001E
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more",,Margin of Error!!Median value (dollars),Estimate!!Median value (dollars)
0500000US48213,"Henderson County, Texas",22753,1717,853,419,472,301,542,330,452,225,1528,607,660,349,598,468,452,259,2015,605,1408,496,881,382,1110,480,1078,464,2524,720,1463,557,1087,455,680,388,1471,588,1166,496,968,352,586,360,259,330,386,237,114,138,,10360,94300
0500000US48215,"Hidalgo County, Texas",144759,4221,2299,739,1544,575,2953,779,4793,1120,4257,1190,7831,1707,4213,1241,14846,1794,9654,1561,9981,1526,9427,1842,14035,2106,10050,1778,15430,1806,9297,1659,6885,1434,5520,1299,4018,839,2769,792,2002,709,1057,532,675,347,786,459,437,273,,2334,80400
0500000US48231,"Hunt County, Texas",21230,1517,351,332,367,273,304,223,336,265,806,482,585,334,293,273,684,346,1326,578,2075,682,921,342,1981,664,775,329,2698,781,2250,647,2111,722,1318,586,667,375,539,341,419,279,120,150,127,126,135,164,42,70,,11307,97600
0500000US48245,"Jefferson County, Texas",56687,3035,1562,604,436,276,253,183,1480,514,1662,544,945,334,965,383,3400,965,2572,821,4445,967,4674,964,4135,1064,4721,1175,6626,1236,5266,1007,4567,962,1779,525,2338,664,1741,551,1453,439,738,418,435,287,250,219,244,183,,3486,93900
0500000US48251,"Johnson County, Texas",38354,1876,206,154,59,102,533,447,963,829,115,139,288,211,384,316,1591,670,1177,559,1625,679,3183,1011,3338,1019,4331,1015,4635,1036,2955,776,3697,932,1845,576,2570,788,1842,713,1442,502,533,292,931,591,49,81,62,103,,7600,107500
0500000US48257,"Kaufman County, Texas",26707,1476,153,141,309,393,445,255,160,156,265,205,165,160,94,120,790,486,1666,667,974,507,1320,685,1358,492,867,417,3986,968,2792,745,3910,1011,2015,646,2281,683,1551,634,1185,546,75,102,229,145,51,83,66,109,,10435,132200
0500000US48291,"Liberty County, Texas",19989,1314,144,198,795,488,108,118,456,394,557,381,389,283,204,214,2381,733,1999,659,974,516,1200,486,1293,480,1466,630,2177,947,892,413,1931,599,1004,467,703,401,476,333,468,358,49,79,128,228,123,165,72,97,,8329,86100
0500000US48303,"Lubbock County, Texas",60639,2507,586,366,848,461,337,269,1169,532,854,481,568,421,1046,421,2828,863,2527,615,4467,1177,3755,858,3453,1046,4496,996,9060,1330,6130,1285,4560,992,3242,851,3692,1010,2698,917,2339,652,843,390,754,471,300,220,87,115,,3931,109300
0500000US48309,"McLennan County, Texas",49120,2745,813,464,799,396,827,367,502,247,1159,569,554,325,804,479,2271,654,2137,787,3134,889,3260,787,3499,937,2731,706,5792,1176,5305,1200,3722,877,3071,754,3414,682,1958,597,2033,669,555,298,554,302,226,185,0,294,,5568,109000
0500000US48329,"Midland County, Texas",33662,2010,652,374,264,267,464,367,1142,590,241,322,620,360,272,290,903,327,786,443,1843,883,1591,661,1536,742,1724,756,2213,628,2430,776,3781,918,1826,643,4140,1097,2236,633,2134,732,644,503,1288,603,0,294,932,594,,11204,151000
0500000US48339,"Montgomery County, Texas",120512,3529,1659,814,1004,450,1567,642,1104,485,877,526,1727,780,452,280,2857,885,2221,670,4728,1317,5339,1280,3970,1118,4204,1322,11951,2084,12351,1386,10795,1673,7965,1346,12544,1827,9381,1335,11194,1373,4758,860,5157,996,1613,607,1094,479,,5658,159800
0500000US48355,"Nueces County, Texas",73282,3120,1130,736,967,449,951,497,534,239,1192,624,1142,463,1140,517,2496,797,4576,1028,4094,1006,4192,1054,5327,1281,3188,870,11233,1740,9228,1573,7056,1343,3928,968,4195,1060,2591,769,2066,747,753,373,1140,565,60,101,103,117,,4660,112700
0500000US48361,"Orange County, Texas",22051,1691,1195,618,114,135,854,471,391,333,574,433,291,245,327,288,1197,647,2036,640,1962,777,1901,585,1390,558,836,440,2019,690,1642,643,1667,513,849,435,1006,425,1126,557,281,303,45,76,160,161,66,112,122,151,,8123,81900
0500000US48367,"Parker County, Texas",34141,2335,1094,564,399,277,194,200,661,403,0,294,1101,652,162,193,689,298,1008,651,965,637,1213,599,2004,715,1773,583,2451,886,3545,1082,3924,967,1380,473,3104,901,2595,719,3136,1043,932,420,1099,561,346,244,366,287,,9189,148700
0500000US48375,"Potter County, Texas",24157,1773,589,384,697,494,495,395,196,165,514,334,905,421,613,373,1357,424,2093,617,1567,617,2445,815,1259,429,1812,579,2341,629,1756,702,1162,432,1288,499,900,512,860,408,696,380,122,148,270,240,39,64,181,165,,9422,84800
0500000US48381,"Randall County, Texas",33531,1476,459,291,154,145,508,302,180,177,44,66,212,169,252,221,618,407,520,241,699,379,1451,569,1628,629,2426,720,5677,1194,4407,910,4476,973,2870,772,2938,820,1344,468,1095,490,1167,651,364,316,42,67,0,294,,6961,136200
0500000US48397,"Rockwall County, Texas",21486,1328,110,170,224,225,0,294,100,132,0,294,27,52,133,167,160,246,15,26,99,108,138,154,237,215,259,196,1127,496,2652,661,3218,833,2384,544,4038,902,2038,626,2114,641,978,383,653,339,740,483,42,77,,9379,198500
0500000US48409,"San Patricio County, Texas",14104,1217,587,374,280,232,381,281,276,307,316,217,454,347,369,272,417,288,1484,588,473,303,1091,568,1159,502,951,476,1171,465,1592,701,1670,582,320,232,269,184,143,139,433,300,90,117,93,93,71,129,14,25,,7687,88200
0500000US48423,"Smith County, Texas",53274,2327,927,501,754,482,564,403,1606,669,442,235,1142,650,1087,517,1827,738,3063,862,2507,862,2436,756,3169,887,2029,681,6797,1068,4653,881,5147,1039,2391,792,5095,1116,2611,791,2983,705,638,359,532,300,269,224,605,361,,5328,118800
