GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
12061,"Indian River County, Florida","147,919","69,705","78,214","8,755","12,512","13,254","17,583","10,056","12,169",52.3,"17,846","112,446","13,331",6,"1,862","77,905",49379,55494,36579,84087,48218,50280,22237,47912,59320,44848,61313,32810,849.0,174000,6.7,10.7,23.5,26.6,29.3,58466,10.0
12069,"Lake County, Florida","325,875","157,517","168,358","15,257","33,043","36,940","41,570","21,430","21,191",46.5,"47,055","232,464","31,361","1,166","5,719","148,705",50305,126519,48134,111180,48632,50332,32211,53495,59739,39754,58239,28803,2598.0,155100,3.8,28.4,20.6,22.9,20.9,136910,5.3
12071,"Lee County, Florida","701,982","342,788","359,194","35,563","76,144","73,910","85,662","44,195","53,803",47.5,"139,759","482,149","58,184",354,"11,020","379,060",50651,263694,29807,65118,40491,54029,32101,49144,56191,47455,60413,32119,3819.0,184200,5.4,20.9,24.4,25.2,30.0,298915,7.1
12073,"Leon County, Florida","286,272","135,665","150,607","49,101","39,982","30,382","30,192","15,302","15,859",30.4,"17,821","163,583","87,138",576,"9,430","127,615",46002,109209,31612,58295,24895,53772,19230,46967,61989,51847,70776,30764,536.0,179100,13.3,44.7,45.2,42.8,44.8,156075,9.0
12081,"Manatee County, Florida","363,369","175,962","187,407","18,497","36,905","38,806","45,918","25,674","26,585",47.2,"58,100","260,580","32,577",174,"7,155","182,118",50835,134690,37101,65211,32201,53839,37211,51424,61379,41368,62371,30945,2586.0,194000,7.6,19.5,28.6,24.9,31.3,159465,6.9
12083,"Marion County, Florida","343,254","165,601","177,653","18,048","35,340","33,397","40,751","23,319","23,075",48.8,"41,785","246,157","43,816",342,"5,893","163,801",40050,125227,29077,64051,35305,41925,50115,36843,47778,38862,50674,25649,1055.0,120500,9.2,15.9,22.1,17.6,22.3,125772,11.6
12086,"Miami-Dade County, Florida","2,693,117","1,305,293","1,387,824","177,364","384,040","377,861","400,141","165,434","152,990",39.8,"1,800,281","381,160","448,936",811,"41,426","1,010,631",43786,857712,32369,61786,40853,73297,23269,50046,50497,26095,49609,25594,2800.0,251900,9.2,30.6,32.6,27.2,20.1,1351283,6.6
12091,"Okaloosa County, Florida","198,664","101,303","97,361","14,368","32,689","21,917","25,663","12,747","12,061",36.6,"17,175","147,620","21,131",307,"5,016","95,502",55659,76721,42257,51460,51994,60187,35279,55358,61843,51490,62305,35125,690.0,204200,5.2,30.0,34.6,29.9,26.5,102534,7.5
12095,"Orange County, Florida","1,288,126","632,151","655,975","107,252","215,114","180,496","174,959","76,126","65,107",34.7,"384,040","541,073","256,524","1,542","66,697","516,538",50720,457736,40041,62626,40486,61261,28595,51740,60122,37441,58129,35549,4986.0,190700,10.9,36.1,34.2,31.3,25.2,698064,6.1
12097,"Osceola County, Florida","323,993","158,933","165,060","22,311","44,795","47,075","43,142","17,756","17,244",36.1,"165,344","111,965","31,545",87,"8,296","137,104",45244,98301,38302,59073,39479,56988,27375,46255,55100,32699,47578,33214,3502.0,160700,6.1,19.6,23.1,19.3,18.9,154560,6.9
12099,"Palm Beach County, Florida","1,422,789","687,852","734,937","78,549","168,766","164,667","193,298","96,030","87,529",44.5,"300,776","798,955","254,637","1,382","36,187","679,034",56664,545780,40670,71501,43872,65427,30508,59958,66196,46610,70491,35607,2848.0,246200,10.0,33.2,35.7,36.7,35.9,702367,6.9
12101,"Pasco County, Florida","497,909","241,436","256,473","25,299","52,537","60,775","67,931","33,630","32,434",44.7,"69,900","379,345","25,721","2,035","11,976","234,461",46133,192628,43031,66790,50351,45554,35985,56378,52075,36318,56509,27628,1971.0,137700,8.3,26.1,29.0,19.9,19.1,217534,6.4
12103,"Pinellas County, Florida","949,827","455,387","494,440","50,043","110,965","104,760","136,814","77,013","71,347",47.6,"86,744","709,531","95,183","2,119","32,484","505,381",47618,400209,34113,55067,35133,50551,28480,52068,59469,35438,63107,30942,1663.0,170500,10.5,30.9,31.8,30.5,27.6,474382,5.8
12105,"Polk County, Florida","650,092","318,741","331,351","40,642","81,168","76,521","80,071","40,375","40,680",40.1,"133,079","397,044","95,519","1,499","10,927","284,364",44061,227122,33066,54912,39073,48590,31821,45491,51523,36637,50840,29833,3003.0,123100,4.5,17.8,19.5,20.1,18.5,283164,8.5
12109,"St. Johns County, Florida","226,640","110,640","116,000","11,973","23,981","27,126","35,018","17,151","15,143",43.3,"14,404","189,151","11,832",699,"6,518","99,486",70379,83247,45065,135761,46004,72585,31179,76931,88632,48648,90871,39031,2908.0,273000,8.0,48.1,60.9,42.4,35.4,108206,6.0
12111,"St. Lucie County, Florida","298,563","142,613","155,950","16,228","34,366","35,020","37,085","21,397","19,209",44.4,"53,323","176,048","56,823","1,109","6,434","138,078",45905,108811,28694,67256,40096,50869,21452,53841,46887,40718,53728,29196,945.0,149300,4.2,14.5,18.5,20.2,23.2,131972,8.5
12113,"Santa Rosa County, Florida","167,040","85,690","81,350","10,282","22,378","21,840","25,306","12,193","10,403",40.2,"9,000","137,624","7,902",488,"3,159","68,580",59682,60861,51079,61660,56789,61108,24898,66174,65982,47148,65639,41322,1210.0,169200,5.5,31.9,30.0,26.2,26.0,79876,6.4
12115,"Sarasota County, Florida","405,549","191,781","213,768","17,892","33,336","34,784","49,521","26,906","35,858",55.1,"35,779","338,688","19,665",348,"5,691","232,612",56286,177807,30427,52067,43699,59306,34734,61816,64646,50711,70208,36900,2406.0,217500,6.6,29.2,31.6,33.5,38.3,169327,6.2
12117,"Seminole County, Florida","449,144","217,115","232,029","29,296","61,986","61,828","65,041","29,712","28,482",39.3,"89,012","279,670","48,657",977,"18,754","186,622",57074,162739,39046,73571,40526,65362,20797,58989,73598,42177,71534,34113,952.0,196000,8.7,33.9,38.9,37.7,31.8,236784,7.4
13013,"Barrow County, Georgia","75,370","37,316","38,054","5,103","11,501","10,302","10,196","3,849","3,839",34.7,"7,521","54,976","8,006",55,"2,466","27,230",53156,24100,44237,73974,39961,56298,39624,62775,51817,37244,56865,35166,383.0,140800,3.2,19.9,21.0,14.2,11.9,35726,8.3
13021,"Bibb County, Georgia","153,721","71,929","81,792","10,898","20,817","17,858","19,063","10,704","8,895",36.0,"4,897","61,185","83,494",195,"2,839","70,258",38605,59795,27486,81059,31491,55626,9507,38443,48576,34497,50452,23793,113.0,106600,3.9,31.0,24.3,24.8,21.6,67335,8.2
13031,"Bulloch County, Georgia","72,651","35,533","37,118","11,970","8,784","7,810","7,610","3,786","3,038",27.6,"2,725","46,254","20,814",302,"1,568","30,200",33477,26495,24711,59759,12027,40080,11052,39495,39789,51979,44525,23277,232.0,140500,3.4,28.4,36.7,23.2,29.6,33865,6.2
13051,"Chatham County, Georgia","286,956","138,258","148,698","25,269","46,967","33,828","34,901","17,342","16,693",34.8,"17,695","141,494","111,653",540,"8,729","123,677",49252,108249,33093,70845,46116,59338,25706,49777,61785,37362,59347,35203,933.0,176500,8.6,29.0,40.3,30.7,31.1,151013,9.3
13057,"Cherokee County, Georgia","235,900","115,721","120,179","13,978","27,439","35,442","35,467","16,053","12,365",37.7,"23,827","187,650","15,254",342,"4,229","87,483",74104,82664,76881,56580,36335,79447,37171,76563,88019,39708,87561,44208,1847.0,223200,7.1,40.0,48.0,38.0,27.9,125255,3.9
13059,"Clarke County, Georgia","123,912","58,021","65,891","25,733","18,835","13,620","10,728","5,639","5,288",26.6,"13,180","69,225","33,615",58,"4,998","52,228",31284,46556,22342,41977,32444,35710,13308,36055,37422,35857,48101,20803,89.0,153300,12.4,50.1,54.7,38.5,36.5,61825,6.4
13063,"Clayton County, Georgia","273,955","129,715","144,240","19,697","41,709","38,018","36,451","17,054","12,596",32.4,"35,500","34,666","182,336",190,"14,513","104,731",42120,90373,42670,51450,36484,47525,27547,37376,49234,43631,47188,31031,427.0,91200,5.2,18.9,20.2,19.5,16.6,136029,10.6
13067,"Cobb County, Georgia","741,334","358,391","382,943","49,416","106,287","108,739","108,464","47,502","39,737",36.3,"94,853","392,403","194,230",863,"37,592","295,632",70246,274468,55856,87465,49381,78306,32680,70132,84051,53636,82637,46171,1477.0,224300,14.0,43.4,49.9,46.0,39.3,408426,5.9
