GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
04027,"Yuma County, Arizona",46419,74042,35531,21280,69375,44999,48007,32170,48788,57560,36363,51480,28556
05007,"Benton County, Arkansas",69130,100749,N,67665,101986,56887,69997,39619,78116,79315,50361,81726,42644
05031,"Craighead County, Arkansas",45610,41409,29681,-,173420,N,53738,28013,42734,66259,40285,63994,27447
05045,"Faulkner County, Arkansas",57642,47389,36689,-,-,62969,61455,36208,67156,70503,42717,70514,30129
05051,"Garland County, Arkansas",45265,41743,30172,6179,N,45536,46392,24950,50344,47758,41330,54414,25731
05069,"Jefferson County, Arkansas",39326,27593,37468,-,-,-,49565,12376,32124,58526,35204,51052,28234
05085,"Lonoke County, Arkansas",62532,26052,36932,-,-,45688,65654,66243,62868,75593,42793,75967,35207
05119,"Pulaski County, Arkansas",52043,158000,38870,N,65951,50320,65432,32348,55035,59048,48195,67765,35091
05125,"Saline County, Arkansas",66327,45455,41341,-,N,62964,69603,22511,68408,81977,54361,78096,37004
05131,"Sebastian County, Arkansas",48839,51384,41076,45536,51883,36021,52083,31705,53031,55507,36577,56569,28279
