GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
10003,"New Castle County, Delaware","571,708","277,764","293,944","34,812","80,215","75,127","70,313","38,067","39,971",39.1,"62,976","305,712","132,810","1,312","33,110",235,"235,340"
10005,"Sussex County, Delaware","247,527","119,298","128,229","11,310","23,242","24,652","25,249","17,983","23,225",51.8,"23,791","183,325","26,024",437,"3,387",0,"147,545"
11001,"District of Columbia, District of Columbia","670,050","319,025","351,025","45,383","145,879","110,899","70,143","32,661","33,577",34.8,"76,919","244,063","285,945",277,"26,908",86,"357,482"
12001,"Alachua County, Florida","279,238","135,116","144,122","40,253","41,062","32,504","27,716","12,449","17,140",32.8,"30,789","165,648","54,006",308,"16,436",122,"125,518"
12005,"Bay County, Florida","179,168","90,040","89,128","11,340","25,437","21,487","22,508","12,356","15,669",41.1,"13,225","132,938","17,879",560,"3,999",508,"106,144"
12009,"Brevard County, Florida","616,628","303,641","312,987","30,788","70,284","70,234","71,992","52,103","48,335",47.0,"71,676","434,850","56,345",471,"14,608",228,"294,237"
12011,"Broward County, Florida","1,930,983","947,679","983,304","105,100","249,475","263,836","261,812","138,244","130,550",41.3,"618,443","606,540","533,161","2,077","67,822",965,"864,468"
12015,"Charlotte County, Florida","194,843","95,225","99,618","6,504","14,752","15,389","18,937","14,037","19,732",60.4,"15,920","159,253","10,184",376,"2,516",123,"113,469"
12017,"Citrus County, Florida","158,083","77,507","80,576","5,830","13,903","14,207","14,714","10,020","16,352",57.8,"10,554","135,753","3,086",149,"2,716",0,"82,837"
12019,"Clay County, Florida","222,361","109,207","113,154","13,071","22,577","31,151","30,677","14,089","16,048",40.9,"24,627","149,511","19,435",89,"8,434",0,"86,753"
12021,"Collier County, Florida","385,980","191,063","194,917","17,683","35,052","38,121","42,569","27,038","27,560",52.7,"111,764","234,041","24,854",69,"5,936",64,"233,635"
12023,"Columbia County, Florida","70,385","37,418","32,967","4,884","8,091","9,710","8,159","4,808","4,865",39.8,"4,858","48,604","8,642",374,478,77,"30,028"
12031,"Duval County, Florida","999,935","486,538","513,397","63,444","160,866","133,763","118,028","62,469","64,661",36.8,"113,454","493,920","285,131","1,019","47,771",544,"444,930"
12033,"Escambia County, Florida","322,390","160,808","161,582","23,690","45,866","38,046","35,953","21,250","21,180",38.5,"20,498","200,092","66,945",301,"9,443",74,"147,732"
12035,"Flagler County, Florida","120,932","58,936","61,996","4,685","9,264","11,785","15,164","7,076","12,610",53.4,"13,765","88,673","11,343",107,"2,469",0,"57,814"
12053,"Hernando County, Florida","200,638","98,319","102,319","8,594","21,072","23,973","23,079","12,388","16,878",47.8,"32,492","145,105","9,218",588,"2,578",0,"90,533"
